"","rowname","PlateID","WellName","Field","Timepoint","timepoint","X","Y","FRET1","CFP.Mean","YFP.Mean","Cell.Roundness","Cell.Area.µm","dist","dfret","df.fret","Well2","Treatment","time"
"111","33",16765,"B10",3,1,"2",349,143,0.779377,1913.42,1491.28,0.991074,64.1472,8.48528137423857,0.003278,0.422368795733534,"10","FSK",2
"112","33",16765,"B10",3,1,"3",348,137,0.876515,1448.06,1269.25,1.00115,63.8023,6.08276253029822,0.100416,12.9385555193345,"10","FSK",6
"113","33",16765,"B10",3,1,"4",345,133,0.952757,1153.15,1098.68,0.990044,62.5953,5,0.176658,22.7623022320606,"10","FSK",10
"114","34",16765,"B10",3,1,"1",881,278,0.778983,1368.92,1066.37,0.981396,67.4236,0,0,0,"10","FSK",0
"115","34",16765,"B10",3,1,"2",878,271,0.772515,1422.94,1099.25,0.976252,66.82,7.61577310586391,-0.00646800000000003,-0.830313370124897,"10","FSK",2
"116","34",16765,"B10",3,1,"3",877,264,0.784915,1442.49,1132.23,0.96886,65.9578,7.07106781186548,0.00593200000000005,0.761505706799769,"10","FSK",6
"117","34",16765,"B10",3,1,"4",872,261,0.801622,1400.28,1122.5,0.976988,66.9062,5.8309518948453,0.022639,2.90622516794333,"10","FSK",10
"118","35",16765,"B10",3,1,"1",333,277,0.798914,1250.83,999.303,0.974319,52.8525,0,0,0,"10","FSK",0
"119","35",16765,"B10",3,1,"2",326,273,0.794724,1563.56,1242.6,0.980593,54.7493,8.06225774829855,-0.00419000000000003,-0.524461957106776,"10","FSK",2
"120","35",16765,"B10",3,1,"3",325,265,0.880894,1213.54,1069,0.989202,54.232,8.06225774829855,0.0819799999999999,10.2614298910771,"10","FSK",6
"121","35",16765,"B10",3,1,"4",322,260,0.967594,1035.89,1002.32,0.989623,50.3521,5.8309518948453,0.16868,21.1136617958879,"10","FSK",10
"122","36",16765,"B10",3,1,"1",887,309,0.809239,2573.62,2082.68,0.964651,80.5289,0,0,0,"10","FSK",0
